순위,영화명,변동폭
1,1987,0
2,신과함께-죄와 벌,0
3,쥬만지: 새로운 세계,0
4,강철비,0
5,코코,3
6,위대한 쇼맨,1
7,페르디난드,1
8,원더,1
9,다운사이징,1
10,너의 이름은.,1
11,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",2
12,블레이드 러너 2049,1
13,그것만이 내 세상,1
14,메이즈 러너: 데스 큐어,0
15,염력,0
16,러빙 빈센트,4
17,찰스 디킨스의 비밀 서재,1
18,기억의 밤,2
19,극장판 포켓몬스터 너로 정했다!,0
20,흥부,6
21,꾼,0
22,골든슬럼버,1
23,스타워즈: 라스트 제다이,1
24,더 포리너,7
25,스타박'스 다방,1
26,패터슨,1
27,22년 후의 고백,3
28,메이헴,4
29,조선명탐정: 흡혈괴마의 비밀,4
30,어벤져스: 인피니티 워,1
31,뽀로로 극장판 공룡섬 대모험,2
32,돌아와요 부산항애(愛),3
33,범죄도시,0
34,아오 오니,6
35,다키스트 아워,8
36,1급기밀,11
37,월요일이 사라졌다,14
38,모범생,0
39,원더풀 라이프,2
40,반드시 잡는다,4
41,하이큐!! 콘셉트의 싸움,6
42,블랙 팬서,2
43,지오스톰,9
44,몬스터 패밀리,3
45,해피 데스데이,0
46,수면의 과학,2
47,덩케르크,1
48,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,9
49,리틀 포레스트,7
50,남영동1985,2
